week_type,date,sleep_hours,deadlines_next_7_days,work_hours,stress_self_report,journal_text,sentiment_score,risk_index_raw,burnout_probability
balanced,2026-02-03,7.8,1,34,2,"Felt calm and finished tasks early.",0.72,0.18,18
balanced,2026-02-04,7.5,2,36,3,"Good focus and steady progress today.",0.61,0.23,23
balanced,2026-02-05,7.4,2,37,3,"Manageable day with enough rest.",0.55,0.26,26
balanced,2026-02-06,7.2,3,38,4,"A little busy but still in control.",0.32,0.31,31
balanced,2026-02-07,7.0,3,39,4,"Some pressure but handled it well.",0.24,0.35,35
midterms,2026-02-10,6.6,4,42,5,"Lots of tasks today, slightly overwhelmed.",-0.12,0.44,44
midterms,2026-02-11,6.3,5,44,6,"Back-to-back deadlines made me anxious.",-0.34,0.53,53
midterms,2026-02-12,6.0,5,46,6,"Long study sessions and mounting pressure.",-0.39,0.58,58
midterms,2026-02-13,5.8,6,48,7,"Falling behind on one class and feeling tense.",-0.51,0.66,66
midterms,2026-02-14,5.6,6,50,7,"Very little downtime this week.",-0.57,0.71,71
allnighter,2026-02-17,5.2,7,52,8,"I feel exhausted and behind schedule.",-0.71,0.79,79
allnighter,2026-02-18,4.8,8,55,8,"Pulled a late night and cannot focus.",-0.76,0.84,84
allnighter,2026-02-19,4.5,8,58,9,"Sleep deprived and overwhelmed.",-0.82,0.89,89
allnighter,2026-02-20,4.2,9,60,9,"Another all-nighter, stress is peaking.",-0.86,0.93,93
allnighter,2026-02-21,4.0,10,62,10,"Completely drained with nonstop workload.",-0.91,0.96,96
